,video_id,commenter_channel_url,commenter_channel_id,commenter_channel_display_name,comment_id,comment_like_count,comment_publish_date,text,commenter_rating,comment_parent_id,collection_date,reply_count
0,ng2o98k983k,http://www.youtube.com/channel/UCTxJBm8hH9t_YAr4DGH-JjA,UCTxJBm8hH9t_YAr4DGH-JjA,Preeti Arawal,Ugz-5fxN9aqDA2c0g5x4AaABAg,0,1594094053.0,"Hi All,

I am using pycharm to run python code,when I installed requests,bs4,beautifulsoup4 in my windows system it installed successfully,But when I import it is giving error.Please let me know  how can I resolve the issue.",none,,2020-07-07 23:38:13.039144,0.0
1,ng2o98k983k,http://www.youtube.com/channel/UC2vlcuYgS7MUOPPGhDrH-uA,UC2vlcuYgS7MUOPPGhDrH-uA,Allister Graham,UgxLv_Ejv0vB4iq7IKh4AaABAg,1,1594052859.0,"Very informative video, you're an excellent teacher! While other YouTubers ramble off topic, you get straight to the point, and I really appreciate that.",none,,2020-07-07 23:38:13.039144,0.0
2,ng2o98k983k,http://www.youtube.com/channel/UC76J82vv9gqlNdN-Yv_jfnQ,UC76J82vv9gqlNdN-Yv_jfnQ,Abdelmalek Benkouider,Ugx4vxv7StX4WcT7kVV4AaABAg,1,1593983787.0,"thank you so much, for me you're the BEST python teacher. I really enjoy watching your videos and learn complex staff in very easy way!",none,,2020-07-07 23:38:13.039144,0.0
3,ng2o98k983k,http://www.youtube.com/channel/UCap5SXw3jPXMHgiW6dlVQEA,UCap5SXw3jPXMHgiW6dlVQEA,Aman Chauhan,Ugw4cTe0RI4s_h9u0zR4AaABAg,0,1593850003.0,Guys! Make sure files are stored in ANSI.,none,,2020-07-07 23:38:13.039144,0.0
4,ng2o98k983k,http://www.youtube.com/channel/UCUTtf2387S4bKu4Oh_QMEXg,UCUTtf2387S4bKu4Oh_QMEXg,adarsh tiwari,UgwHfvLJUaHa4_DGGMt4AaABAg,1,1593772170.0,I truly appreciate your compassionate teaching and dedication to the tutorials. Thank you for all the teaching!!,none,,2020-07-07 23:38:13.039144,0.0
5,ng2o98k983k,http://www.youtube.com/channel/UC6pJbgLdqpo00F3MnA-5btg,UC6pJbgLdqpo00F3MnA-5btg,Bùi Thanh Lâm,UgzdpTytRdKCk0P1aEt4AaABAg,1,1593741972.0,Thanks! This helps me a lot!,none,,2020-07-07 23:38:13.039144,0.0
6,ng2o98k983k,http://www.youtube.com/channel/UCfafYyXCSqeycN8uKSa_f_g,UCfafYyXCSqeycN8uKSa_f_g,String Guo,Ugzav6tXjuP5FnWblZN4AaABAg,0,1593609491.0,This video really builds up my confidence in programming!,none,,2020-07-07 23:38:13.040131,0.0
7,ng2o98k983k,http://www.youtube.com/channel/UC63c-b4_9DmJAGrC51XYzog,UC63c-b4_9DmJAGrC51XYzog,TeachingComputing,Ugzvi3Ib-cS9n6tj8V54AaABAg,0,1593540767.0,"@Corey - but how do you then display this dynamically on a webpage? As in, what are the suggested ways to access that CSV file (dynamically) and display the data on your own webpage?",none,,2020-07-07 23:38:13.040131,0.0
8,ng2o98k983k,http://www.youtube.com/channel/UCDiVYERGY0WwrS8od1TQVYA,UCDiVYERGY0WwrS8od1TQVYA,Jackson Sophat,UgwAhC4NoAeMiX83Nc14AaABAg,0,1593486322.0,Thank you for sharing,none,,2020-07-07 23:38:13.040131,0.0
9,ng2o98k983k,http://www.youtube.com/channel/UCpg8eExde6_4nU2H7813lEA,UCpg8eExde6_4nU2H7813lEA,Melisa Liu,UgyjQsgw9nh0_QeNsFF4AaABAg,1,1593325847.0,La combinación de BeautifulSoup y Octoparse https://www.octoparse.es/  es el mejor posicionamiento preciso y la extracción rápida de grandes cantidades de datos web.,none,,2020-07-07 23:38:13.040131,0.0
